source,n_size,n_col,n_shp,target,n_size,n_col,n_shp,weight,e_clr,e_shp,relation
Y3,50,Cluster7,100-699 cells,Li10,50,Cluster1,1-99 cells,8941,Top Output,Excitation,top_output
Li05,29,Cluster1,1-99 cells,LPLC4,29,Boundary,1-99 cells,3487,Top Input,Excitation,top_input
Li05,29,Cluster1,1-99 cells,LPLC4,29,Boundary,1-99 cells,3487,Top Output,Excitation,top_output
Tm5f,60,Cluster1,100-699 cells,LPLC2,60,Boundary,100-699 cells,6438,Top Input,Excitation,top_input
TmY31,36,Cluster1,100-699 cells,Sm42,36,Cluster1,1-99 cells,6255,Top Input,Excitation,top_input
Sm42,20,Cluster1,1-99 cells,Sm07,20,Cluster3,100-699 cells,2664,Top Output,Inhibition,top_output
TmY31,36,Cluster1,100-699 cells,LC10d,36,Boundary,1-99 cells,1675,Top Input,Excitation,top_input
Mi9,97,Cluster5,700+ cells,TmY11,97,Cluster1,100-699 cells,19450,Top Input,Inhibition,top_input
Mi9,97,Cluster5,700+ cells,TmY11,97,Cluster1,100-699 cells,19450,Top Output,Inhibition,top_output
TmY11,38,Cluster1,100-699 cells,TmY15,38,Cluster7,100-699 cells,4577,Top Output,Excitation,top_output
Tm8a,32,Cluster1,100-699 cells,Sm09,32,Cluster3,1-99 cells,3356,Top Input,Excitation,top_input
Sm09,28,Cluster3,1-99 cells,Tm5b,28,Cluster1,100-699 cells,2854,Top Output,Inhibition,top_output
L3,94,L3,700+ cells,Tm5c,94,Cluster1,100-699 cells,7702,Top Input,Excitation,top_input
Tm5c,51,Cluster1,100-699 cells,Tm5e,51,Cluster1,100-699 cells,9879,Top Output,Inhibition,top_output
Tm5c,51,Cluster1,100-699 cells,Tm5e,51,Cluster1,100-699 cells,9879,Top Input,Inhibition,top_input
Mi4,96,Cluster1,700+ cells,TmY10,96,Cluster1,100-699 cells,4861,Top Input,Inhibition,top_input
TmY10,42,Cluster1,100-699 cells,Mi4,42,Cluster1,700+ cells,7982,Top Output,Excitation,top_output
L3,94,L3,700+ cells,Tm20,94,Cluster1,700+ cells,15994,Top Input,Excitation,top_input
Tm20,94,Cluster1,700+ cells,Tm33,94,Cluster1,1-99 cells,17144,Top Output,Excitation,top_output
Tm20,94,Cluster1,700+ cells,Tm33,94,Cluster1,1-99 cells,17144,Top Input,Excitation,top_input
TmY11,38,Cluster1,100-699 cells,Li11,38,Cluster1,1-99 cells,1896,Top Input,Excitation,top_input
Li11,23,Cluster1,1-99 cells,Li06,23,Cluster7,1-99 cells,1564,Top Output,Inhibition,top_output
Tm20,94,Cluster1,700+ cells,LC10c,94,Boundary,100-699 cells,4820,Top Input,Excitation,top_input
Mi10,41,Cluster1,100-699 cells,Lawf1,41,Cluster13,100-699 cells,18349,Top Input,Excitation,top_input
Mi10,41,Cluster1,100-699 cells,Lawf1,41,Cluster13,100-699 cells,18349,Top Output,Excitation,top_output
Mi9,97,Cluster5,700+ cells,Pm14,97,Cluster1,1-99 cells,4815,Top Input,Inhibition,top_input
Mi4,96,Cluster1,700+ cells,Pm14,96,Cluster1,1-99 cells,4759,Top Input,Inhibition,top_input
Pm14,20,Cluster1,1-99 cells,TmY16,20,Cluster7,1-99 cells,4623,Top Output,Inhibition,top_output
TmY31,36,Cluster1,100-699 cells,Li33,36,Cluster1,1-99 cells,4572,Top Input,Excitation,top_input
Li33,20,Cluster1,1-99 cells,LPLC1,20,Boundary,1-99 cells,4283,Top Output,Inhibition,top_output
Tm20,94,Cluster1,700+ cells,Li01,94,Cluster1,1-99 cells,2338,Top Input,Excitation,top_input
Li01,28,Cluster1,1-99 cells,LC10d,28,Boundary,1-99 cells,1335,Top Output,Inhibition,top_output
Li01,28,Cluster1,1-99 cells,LC10c,28,Boundary,100-699 cells,1331,Top Output,Inhibition,top_output
TmY4,41,Cluster2,100-699 cells,Li28,41,Cluster1,1-99 cells,4763,Top Input,Excitation,top_input
TmY4,41,Cluster2,100-699 cells,Li28,41,Cluster1,1-99 cells,4763,Top Output,Excitation,top_output
