source,n_size,n_col,n_shp,target,n_size,n_col,n_shp,weight,e_clr,e_shp,relation
Tm4,93,Cluster8,700+ cells,TmY14,93,Cluster7,100-699 cells,17744,Top Input,Excitation,top_input
T5c,97,Cluster12,700+ cells,Tlp4,97,Cluster11,1-99 cells,10802,Top Input,Excitation,top_input
T5c,97,Cluster12,700+ cells,LPi09,97,Cluster11,1-99 cells,24431,Top Input,Excitation,top_input
T4c,100,Cluster12,700+ cells,Tlp14,100,Cluster11,1-99 cells,14840,Top Input,Excitation,top_input
T5c,97,Cluster12,700+ cells,Tlp14,97,Cluster11,1-99 cells,14148,Top Input,Excitation,top_input
T5c,97,Cluster12,700+ cells,Y11,97,Cluster11,1-99 cells,8875,Top Input,Excitation,top_input
T4c,100,Cluster12,700+ cells,Y11,100,Cluster11,1-99 cells,8869,Top Input,Excitation,top_input
Mi1,100,Cluster9,700+ cells,Y3,100,Cluster7,100-699 cells,21527,Top Input,Excitation,top_input
Tm1,97,Cluster8,700+ cells,Y3,97,Cluster7,100-699 cells,20677,Top Input,Excitation,top_input
T5c,97,Cluster12,700+ cells,LPi04,97,Cluster11,1-99 cells,5951,Top Input,Excitation,top_input
LPi13,20,Cluster11,1-99 cells,LPi03,20,Cluster11,1-99 cells,246,Top Input,Inhibition,top_input
T4c,100,Cluster12,700+ cells,LPi07,100,Cluster11,1-99 cells,9507,Top Input,Excitation,top_input
Tm2,97,Cluster8,700+ cells,T2,97,Cluster7,700+ cells,27686,Top Input,Excitation,top_input
T2,92,Cluster7,700+ cells,Li15,92,Cluster7,1-99 cells,14144,Top Input,Excitation,top_input
L3,94,L3,700+ cells,Tm9,94,Cluster12,700+ cells,15428,Top Input,Excitation,top_input
Tm9,95,Cluster12,700+ cells,CT1,95,Cluster12,1-99 cells,23488,Top Input,Excitation,top_input
TmY31,36,Cluster1,100-699 cells,Sm42,36,Cluster1,1-99 cells,6255,Top Input,Excitation,top_input
L2,99,Cluster8,700+ cells,Tm1,99,Cluster8,700+ cells,91229,Top Input,Excitation,top_input
Tm1,97,Cluster8,700+ cells,Pm03,97,Cluster7,1-99 cells,78647,Top Input,Excitation,top_input
Mi9,97,Cluster5,700+ cells,TmY11,97,Cluster1,100-699 cells,19450,Top Input,Inhibition,top_input
Tm8a,32,Cluster1,100-699 cells,Sm09,32,Cluster3,1-99 cells,3356,Top Input,Excitation,top_input
L2,99,Cluster8,700+ cells,Tm4,99,Cluster8,700+ cells,44157,Top Input,Excitation,top_input
Tm4,93,Cluster8,700+ cells,TmY5a,93,Cluster7,100-699 cells,22730,Top Input,Excitation,top_input
L3,94,L3,700+ cells,Tm5c,94,Cluster1,100-699 cells,7702,Top Input,Excitation,top_input
Tm5c,51,Cluster1,100-699 cells,Tm5e,51,Cluster1,100-699 cells,9879,Top Input,Inhibition,top_input
Mi4,96,Cluster1,700+ cells,TmY10,96,Cluster1,100-699 cells,4861,Top Input,Inhibition,top_input
L3,94,L3,700+ cells,Tm20,94,Cluster1,700+ cells,15994,Top Input,Excitation,top_input
Tm20,94,Cluster1,700+ cells,Tm33,94,Cluster1,1-99 cells,17144,Top Input,Excitation,top_input
TmY11,38,Cluster1,100-699 cells,Li11,38,Cluster1,1-99 cells,1896,Top Input,Excitation,top_input
L3,94,L3,700+ cells,Mi9,94,Cluster5,700+ cells,37152,Top Input,Excitation,top_input
Mi10,41,Cluster1,100-699 cells,Lawf1,41,Cluster13,100-699 cells,18349,Top Input,Excitation,top_input
Mi1,100,Cluster9,700+ cells,Pm08,100,Cluster7,1-99 cells,61797,Top Input,Excitation,top_input
Mi9,97,Cluster5,700+ cells,Pm14,97,Cluster1,1-99 cells,4815,Top Input,Inhibition,top_input
Mi4,96,Cluster1,700+ cells,Pm14,96,Cluster1,1-99 cells,4759,Top Input,Inhibition,top_input
TmY31,36,Cluster1,100-699 cells,Li33,36,Cluster1,1-99 cells,4572,Top Input,Excitation,top_input
LMa5,23,Cluster7,1-99 cells,Lawf2,23,Lawf2,100-699 cells,5312,Top Input,Inhibition,top_input
Lawf2,37,Lawf2,100-699 cells,Lai,37,Cluster13,100-699 cells,30330,Top Input,Excitation,top_input
Tm20,94,Cluster1,700+ cells,Li01,94,Cluster1,1-99 cells,2338,Top Input,Excitation,top_input
TmY4,41,Cluster2,100-699 cells,Li28,41,Cluster1,1-99 cells,4763,Top Input,Excitation,top_input
L5,98,Cluster9,700+ cells,Mi4,98,Cluster1,700+ cells,28371,Top Input,Excitation,top_input
L2,99,Cluster8,700+ cells,Tm2,99,Cluster8,700+ cells,76722,Top Input,Excitation,top_input
Li18,22,Cluster1,1-99 cells,Tm5f,22,Cluster1,100-699 cells,10452,Top Input,Inhibition,top_input
TmY9q,37,Cluster2,100-699 cells,Li23,37,Cluster1,1-99 cells,472,Top Input,Excitation,top_input
Tm1,97,Cluster8,700+ cells,Pm02,97,Cluster7,1-99 cells,69163,Top Input,Excitation,top_input
Mi9,97,Cluster5,700+ cells,Mi10,97,Cluster1,100-699 cells,12397,Top Input,Inhibition,top_input
Mi4,96,Cluster1,700+ cells,Pm10,96,Cluster7,1-99 cells,9922,Top Input,Inhibition,top_input
Y3,50,Cluster7,100-699 cells,LLPt,50,Cluster1,1-99 cells,2868,Top Input,Excitation,top_input
Tm4,93,Cluster8,700+ cells,Mi14,93,Cluster7,100-699 cells,7274,Top Input,Excitation,top_input
Mi1,100,Cluster9,700+ cells,Pm05,100,Cluster7,1-99 cells,39349,Top Input,Excitation,top_input
TmY31,36,Cluster1,100-699 cells,Li10,36,Cluster1,1-99 cells,11799,Top Input,Excitation,top_input
L3,94,L3,700+ cells,Dm4,94,Cluster5,1-99 cells,6024,Top Input,Excitation,top_input
T3,100,Cluster7,700+ cells,Li16,100,Cluster7,1-99 cells,6391,Top Input,Excitation,top_input
Mi1,100,Cluster9,700+ cells,Tm27,100,Cluster7,100-699 cells,24145,Top Input,Excitation,top_input
Tm3,100,Cluster9,700+ cells,Li21,100,Cluster7,1-99 cells,12168,Top Input,Excitation,top_input
Tm9,95,Cluster12,700+ cells,T5c,95,Cluster12,700+ cells,18434,Top Input,Excitation,top_input
Tm1,97,Cluster8,700+ cells,Dm3v,97,Cluster2,100-699 cells,10959,Top Input,Excitation,top_input
Dm3v,52,Cluster2,100-699 cells,TmY4,52,Cluster2,100-699 cells,8060,Top Input,Inhibition,top_input
Li30,20,Cluster1,1-99 cells,TmY31,20,Cluster1,100-699 cells,6008,Top Input,Excitation,top_input
Li10,29,Cluster1,1-99 cells,Tm32,29,Cluster1,1-99 cells,1619,Top Input,Inhibition,top_input
LMt3,22,Cluster7,1-99 cells,Pm13,22,Cluster1,1-99 cells,1387,Top Input,Inhibition,top_input
Tm4,93,Cluster8,700+ cells,Li31,93,Cluster7,1-99 cells,5607,Top Input,Excitation,top_input
Mi9,97,Cluster5,700+ cells,Tm8b,97,Cluster1,1-99 cells,3237,Top Input,Inhibition,top_input
TmY14,38,Cluster7,100-699 cells,Pm07,38,Cluster7,1-99 cells,3192,Top Input,Inhibition,top_input
Li13,23,Cluster1,1-99 cells,Li03,23,Cluster1,1-99 cells,517,Top Input,Inhibition,top_input
