Type,Right OL,Left OL,Diff from Right OL
LC12,182,196,+8%
LC17,142,134,-6%
MeTu1,123,120,-2%
LC10a,119,115,-3%
LLPC2,115,120,+4%
LLPC1,113,106,-7%
LLPC3,102,102,0%
LPLC2,102,108,+6%
LC10c,102,101,-1%
LC10d,95,93,-2%
LC18,92,96,+4%
LC9,92,87,-6%
LPC1,82,82,0%
LC16,74,78,+5%
LPLC1,72,68,-6%
LC13,70,75,+7%
MeTu3c,64,72,+12%
LC21,62,68,+10%
LPC2,62,54,-15%
LC11,61,66,+8%
LC6,60,65,+8%
MeTu4a,60,70,+17%
LC28a,56,19,-100%
LC15,54,52,-4%
LPLC4,54,56,+4%
LC10e,51,52,+2%
LC4,50,54,+8%
MTe51,50,48,-4%
MeTu4c,48,41,-17%
MeTu3b,46,53,+15%
LC22,46,43,-7%
MTe01a,46,19,-100%
LC10b,43,40,-8%
cLP02,43,39,-10%
LC14b,38,38,0%
MTe02,37,38,+3%
MeTu2a,36,33,-9%
LC24,35,40,+14%
LC26,31,26,-19%
LC14a1,30,30,0%
MTe50,29,25,-16%
LC25,29,32,+10%
aMe5,28,27,-4%
LCe02,28,24,-17%
cLP01,27,24,-12%
MTe54,27,27,0%
MTe01b,27,25,-8%
LC20a,26,4,-100%
LCe03,25,0,-100%
MTe03,24,23,-4%
MTe52,24,18,-33%
LC29,23,22,-5%
LC14a2,23,23,0%
LCe01b,22,12,-83%
cLP03,20,19,-5%
LPTe01,20,18,-11%
LC20b,20,4,-100%
LC27,19,18,-6%
MeTu3a,19,20,+5%
MTe04,18,12,-50%
LCe04,18,19,+6%
LC40,18,19,+6%
MeTu4d,18,19,+6%
LC31a,17,18,+6%
MeMe_e02,17,17,0%
LT52,16,15,-7%
LC36,15,15,0%
LC33a,14,13,-8%
MeTu2b,14,17,+21%
MeMe_e01,13,13,0%
LC45,12,12,0%
LT51,12,12,0%
LCe01a,12,9,-33%
MeTu4b,12,9,-33%
MeMe_e08,12,12,0%
cM19,12,13,+8%
LT57,11,11,0%
MeMe_e07,10,10,0%
LC37a,9,9,0%
MTe05,8,13,+62%
MTe07,8,15,+88%
cL01,8,9,+12%
LCe09,8,7,-14%
l-LNv,8,8,0%
LCe05,8,10,+25%
MTe06,8,10,+25%
LC46,7,7,0%
LC19,7,8,+14%
MTe53,7,7,0%
LTe09,7,8,+14%
LC34,7,7,0%
LC41,6,6,0%
LTe58,6,6,0%
LC43,6,6,0%
MTe08,6,6,0%
LCe06,6,5,-20%
LPTe02,6,5,-20%
LCe07,6,6,0%
LC31b,5,5,0%
LTe64,5,5,0%
LTe68,5,5,0%
LT81,5,4,-25%
aMe4,5,9,+80%
aMe12,5,4,-25%
LTe38a,4,4,0%
LC39,4,4,0%
MTe10,4,4,0%
LPT31,4,4,0%
LT78,4,4,0%
LT70,4,4,0%
cL03,4,1,-100%
LTe65,4,3,-33%
CB0816,4,4,0%
LTe43,4,4,0%
cL02a,4,0,-100%
aMe9,4,4,0%
MTe09,4,6,+50%
LC35,4,4,0%
cL02b,4,3,-33%
LT53,4,4,0%
VST2,4,4,0%
MTe47,4,4,0%
MeMe_e04,4,4,0%
MeMe_e10,4,4,0%
OA-ASM1,4,4,0%
OA-AL2b2,4,4,0%
LCe08,4,1,-100%
LTe32,3,3,0%
MTe46,3,3,0%
cM04,3,3,0%
LTe49c,3,3,0%
LPT23,3,3,0%
LTe66,3,4,+33%
aMe26,3,3,0%
LT82a,3,3,0%
MTe12,3,3,0%
cM08c,3,3,0%
LTe63,3,3,0%
aMe10,3,3,0%
LT64,3,3,0%
LLPC4,3,3,0%
LT77,3,3,0%
MTe13,3,2,-50%
MC65,3,3,0%
cLLPM01,3,2,-50%
cM03,3,3,0%
cL18,3,3,0%
MTe11,3,3,0%
cM09,3,2,-50%
LC44,2,2,0%
