Type,Right OL,Left OL,Diff from Right OL
R1-6,3436,3797,+11%
T2a,866,908,+5%
Tm3,858,897,+5%
T4c,841,868,+3%
T3,824,853,+4%
Mi1,796,785,-1%
L1,793,803,+1%
L2,792,789,0%
L5,783,784,0%
T4d,777,792,+2%
Tm1,774,780,+1%
Mi9,769,781,+2%
C3,768,751,-2%
T5c,767,770,0%
Tm2,766,781,+2%
Mi4,765,766,0%
T5b,760,754,-1%
Tm9,753,767,+2%
T4b,748,759,+1%
Tm20,744,749,+1%
T5a,743,740,0%
C2,743,686,-8%
T4a,737,720,-2%
L3,737,689,-7%
Tm4,733,755,+3%
T1,731,643,-14%
T5d,727,742,+2%
L4,724,677,-7%
T2,722,741,+3%
R7,651,599,-9%
R8,640,625,-2%
Tm21,620,668,+8%
Dm2,598,619,+4%
TmY5a,572,604,+6%
Tm27,560,577,+3%
Dm3p,499,505,+1%
Mi15,481,491,+2%
Dm3q,455,445,-2%
Mi2,427,424,-1%
Tm5f,397,404,+2%
TmY3,359,375,+4%
Tm25,352,369,+5%
Mi13,349,366,+5%
Dm3v,321,320,0%
Tm5c,308,308,0%
Y3,305,298,-2%
Dm10,249,251,+1%
Tm5e,238,259,+9%
Lai,231,169,-37%
Tm5b,222,218,-2%
TmY10,222,226,+2%
Tm5a,218,229,+5%
TmY4,211,221,+5%
Tm7,209,250,+20%
Mi10,207,199,-4%
Dm15,199,202,+2%
Dm8b,197,203,+3%
Sm02,195,195,0%
TmY9q__perp,189,188,-1%
TmY14,185,185,0%
Dm8a,182,174,-5%
TmY11,178,199,+12%
Tm16,173,169,-2%
TmY9q,172,185,+8%
Tm5d,169,162,-4%
Lawf2,167,178,+7%
TmY31,156,161,+3%
Sm07,153,158,+3%
Lawf1,151,132,-14%
TmY15,149,132,-13%
Sm01,143,138,-4%
Tm36,141,141,0%
TmY20,140,141,+1%
Dm9,127,78,-63%
Mi14,126,125,-1%
Pm01,119,122,+3%
Tm8a,118,117,-1%
Tm37,113,124,+10%
Dm12,109,107,-2%
Y12,96,108,+12%
Sm03,94,80,-18%
Pm03,94,96,+2%
Li06,92,103,+12%
Li10,92,94,+2%
Pm02,87,93,+7%
Li05,86,81,-6%
Li01,84,82,-2%
Sm09,83,75,-11%
Y1,82,84,+2%
Sm06,81,83,+2%
Sm08,81,85,+5%
Y4,79,85,+8%
TmY16,75,74,-1%
Tm32,75,92,+23%
Pm05,74,73,-1%
Sm05,73,70,-4%
Sm04,73,78,+7%
Y11,68,62,-10%
Tlp1,67,72,+7%
Dm11,66,65,-2%
Tm35,60,58,-3%
Pm08,59,58,-2%
Tm8b,59,67,+14%
LPi09,56,58,+4%
Tm33,56,62,+11%
MLt3,55,53,-4%
Tm31,53,53,0%
Sm15,53,63,+19%
LPi04,51,32,-59%
LPi07,51,44,-16%
Li02,49,53,+8%
LPi02,48,39,-23%
Tlp4,47,46,-2%
MLt2,47,55,+17%
Dm20,47,48,+2%
Li03,46,37,-24%
Li17,45,44,-2%
Sm12,45,50,+11%
MLt4,44,45,+2%
MLt1,44,48,+9%
Dm16,43,47,+9%
Sm10,43,35,-23%
LPi05,42,32,-31%
Pm04,40,42,+5%
Dm4,39,38,-3%
Pm09,38,35,-9%
Dm1,37,36,-3%
Tm34,36,34,-6%
MLt5,36,30,-20%
LLPt,36,32,-12%
Sm16,34,33,-3%
LMa5,34,40,+18%
Li13,32,35,+9%
Li11,31,30,-3%
Dm6,31,34,+10%
Tlp14,29,26,-12%
MLt6,29,29,0%
Sm18,28,26,-8%
DmDRA1,28,27,-4%
Sm20,28,31,+11%
LMa1,28,27,-4%
Sm32,28,31,+11%
Tlp5,27,28,+4%
LMt2,27,29,+7%
Sm19,27,28,+4%
LPi11,27,27,0%
Li09,26,26,0%
Dm18,25,24,-4%
Pm06,25,26,+4%
Dm13,24,25,+4%
Pm10,24,22,-9%
Sm17,24,27,+12%
Sm22,23,25,+9%
MLt7,23,30,+30%
LPi08,22,18,-22%
LMa3,22,19,-16%
LMt1,22,25,+14%
Li08,22,22,0%
Sm23,22,19,-16%
LPi10,21,21,0%
Li12,21,20,-5%
Sm21,21,19,-11%
Sm13,20,19,-5%
LMa2,20,17,-18%
LMt4,20,19,-5%
Sm14,18,17,-6%
Li16,17,19,+12%
LPi06,17,17,0%
Li15,16,16,0%
Pm11,16,17,+6%
LPi01,16,22,+38%
Pm07,16,25,+56%
LMt3,16,17,+6%
Li04,16,10,-60%
Li18,15,17,+13%
Dm14,14,14,0%
LMa4,14,22,+57%
MLt8,14,10,-40%
Li14,13,13,0%
Lat,12,5,-100%
Sm31,12,11,-9%
Sm30,12,14,+17%
DmDRA2,12,12,0%
Li21,11,7,-57%
Dm19,11,14,+27%
Li07,10,12,+20%
Sm26,10,10,0%
Sm25,9,8,-12%
Li22,8,9,+12%
LPi03,7,6,-17%
Sm27,7,7,0%
Li24,6,4,-50%
Sm34,6,5,-20%
PDt,6,5,-20%
Sm29,5,5,0%
Li26,4,4,0%
Sm11,4,4,0%
Sm24,4,4,0%
Dm17,4,4,0%
Li20,3,3,0%
Sm33,3,2,-50%
Sm28,3,3,0%
Sm36,3,3,0%
Sm35,3,3,0%
Li19,2,2,0%
Li25,2,2,0%
Li27,2,2,0%
Sm38,2,2,0%
Pm12,2,2,0%
Sm40,2,2,0%
Pm14,2,2,0%
LPi14,2,2,0%
Li28,2,2,0%
Pm13,1,2,+100%
Sm42,1,1,0%
Li23,1,1,0%
Sm37,1,1,0%
Sm41,1,1,0%
LPi13,1,1,0%
CT1,1,1,0%
Li33,1,1,0%
Sm39,1,1,0%
Am1,1,1,0%
LPi12,1,1,0%
Li29,1,1,0%
LPi15,1,1,0%
Li30,1,1,0%
Li31,1,1,0%
Li32,1,1,0%
