from type -> to type,connections,synapses
L2 -> Tm1,827,91291
Mi1 -> Pm01,4356,87781
Tm1 -> Pm03,3351,78647
L2 -> Tm2,1077,76834
Tm1 -> Pm02,3857,70003
Mi1 -> Pm03,3401,68840
L1 -> Mi1,824,66243
Mi1 -> Pm08,3598,61797
L1 -> L5,926,60873
Tm1 -> Pm08,3470,49353
L2 -> T1,786,49238
C3 -> L2,875,44671
L2 -> Tm4,3692,44291
C3 -> T1,884,43174
L1 -> Tm3,3761,43094
Mi1 -> T3,2681,42704
R1-6 -> L1,3057,40826
R1-6 -> L2,2931,39753
Mi1 -> Pm05,998,39470
L2 -> Dm6,2555,37946
L3 -> Mi9,1210,37223
Mi1 -> Tm3,4172,35556
Tm1 -> T3,2465,35534
Mi1 -> T4a,3522,35045
Tm1 -> T2a,3547,34671
Mi1 -> T2a,3674,34114
Mi1 -> T4c,3794,33649
Mi4 -> Mi9,890,33596
T2a -> LC17,4737,33505
L1 -> C3,810,32836
L5 -> Tm3,3875,31456
L5 -> Mi1,1819,30903
Lawf2 -> Lai,2278,30577
Tm1 -> Pm05,818,29899
Mi1 -> T4d,3548,29557
L2 -> L5,836,29173
Mi1 -> T4b,3444,28683
L5 -> Mi4,3360,28407
Tm2 -> T2,2810,27870
Pm08 -> Tm1,3330,26905
Dm12 -> L3,2558,25235
Pm08 -> Mi1,3369,25066
T5c -> LPi09,2270,24427
Mi1 -> Tm27,2392,24145
Mi1 -> LMa5,1206,23841
Tm9 -> CT1,752,23538
L5 -> Dm18,2480,23303
Tm4 -> TmY5a,2544,22792
T3 -> Li17,3448,22647
Tm2 -> Pm04,1913,22584
L2 -> Dm19,2659,22391
R1-6 -> Lai,2491,22293
Dm2 -> MeTu1,3304,21959
L1 -> C2,816,21958
Dm4 -> Mi4,785,21929
Mi1 -> Y3,2448,21527
T2a -> LMt2,3616,21296
L5 -> Dm10,2194,20928
Tm1 -> Y3,2390,20681
Tm1 -> Tm21,2355,20571
C3 -> Tm4,3208,20497
L5 -> T2,2532,20426
T4c -> LPi09,2172,20131
T5b -> LPi15,760,20029
T4a -> LPi14,1305,19833
T3 -> LC11,3364,19690
T5a -> LPi14,1308,19539
Tm3 -> Pm01,3440,19495
Mi9 -> TmY11,2237,19458
L3 -> Dm12,2146,19369
LMa5 -> Pm03,458,19306
L2 -> Dm15,2455,19124
T4b -> LPi15,747,18656
Tm9 -> T5c,3232,18465
Mi10 -> Lawf1,1591,18458
Tm2 -> Pm12,1483,18358
Tm3 -> TmY5a,2331,18086
L5 -> L1,851,17953
Tm1 -> LMa5,1143,17824
Tm4 -> TmY14,1761,17796
Dm6 -> L2,2260,17777
T3 -> LC17,2922,17533
C2 -> L2,796,17391
Mi4 -> TmY3,2909,17201
Tm20 -> Tm33,2119,17144
Tm1 -> Pm06,2739,16939
Tm2 -> L5,958,16544
Tm2 -> T5c,2442,16530
Tm9 -> T5d,2951,16527
Tm3 -> Pm04,1813,16349
T2a -> LT1a,844,16234
Tm2 -> T5a,1989,16204
Tm9 -> T5a,3000,16067
T3 -> LT1d,814,16041
L3 -> Tm20,979,16020
Tm9 -> T5b,2994,15980
Mi13 -> Tm1,2184,15825
L5 -> TmY3,2632,15781
T2a -> LT1b,842,15779
Dm15 -> L2,2752,15729
Tm4 -> TmY15,2275,15681
L5 -> Dm1,1595,15647
TmY5a -> Y3,1784,15496
L4 -> TmY3,2849,15490
L3 -> Tm9,817,15488
L5 -> C2,3405,15474
C2 -> L1,770,15393
CT1 -> T5a,739,15343
Dm20 -> Lawf1,1538,15304
T4d -> LPi11,1533,15181
Tm2 -> T5b,2225,15180
Tm3 -> TmY3,3643,15149
Tm3 -> TmY15,2575,15135
L3 -> Dm9,925,14945
T4c -> Tlp14,2787,14844
Dm2 -> Sm07,2013,14823
Mi9 -> Mi4,942,14707
Dm13 -> Tm2,2151,14695
CT1 -> T5b,758,14588
C2 -> L5,828,14471
Tm3 -> Pm05,1312,14465
Mi4 -> TmY11,2083,14412
L5 -> Dm13,2023,14386
R1-6 -> L3,2340,14363
Tm2 -> Pm09,1995,14277
T2 -> Li15,2927,14206
Tm2 -> Dm13,2131,14177
T5c -> Tlp14,2644,14144
Tm4 -> Pm05,1125,14034
Mi4 -> Tm16,2321,13965
Tm2 -> T5d,2057,13931
L4 -> Tm2,1998,13879
Tm3 -> TmY14,1887,13867
Mi9 -> TmY3,2538,13555
Tm2 -> TmY3,2633,13478
Pm03 -> Pm04,597,13366
T2 -> LMa4,2309,13213
L5 -> Tm21,2561,13211
T5d -> LPi11,1457,13104
Tm1 -> T5a,2001,12785
Pm03 -> Tm1,2700,12777
T2 -> LC18,2824,12757
Tm3 -> T2,2102,12676
LMa5 -> Pm08,345,12543
Tm3 -> T3,1883,12477
Tm1 -> T5c,2300,12473
Mi1 -> L1,781,12441
Dm15 -> Tm1,2419,12423
Mi9 -> Mi10,1739,12401
Sm07 -> Dm2,1923,12374
Dm1 -> Mi1,1526,12345
Mi1 -> TmY3,2488,12310
Dm1 -> L2,1527,12294
Tm1 -> T5d,2131,12271
CT1 -> T5c,763,12188
Tm3 -> Li21,1493,12168
C3 -> Tm1,770,12117
Tm2 -> Pm11,1965,12012
Mi4 -> Tm20,828,12003
Tm1 -> Dm3q,1997,11912
Mi1 -> C2,2987,11907
TmY31 -> Li10,670,11799
TmY16 -> Mi4,2292,11709
Tm1 -> Dm3p,2131,11651
T5b -> Am1,759,11602
Dm10 -> Mi4,1909,11505
T5c -> Tlp4,2400,11287
Tm20 -> Li12,1556,11260
CT1 -> T5d,723,11191
Tm1 -> T5b,1945,11154
Dm6 -> T1,1938,11148
T2a -> Li17,2791,11109
Pm02 -> T3,2371,11059
L3 -> Mi1,836,10977
Tm1 -> Dm3v,1839,10961
Pm06 -> Tm1,2425,10957
Tm1 -> Tm4,1877,10890
Tm3 -> Tm3,3367,10882
T2 -> LC11,3044,10872
Tm3 -> Pm11,2023,10859
Pm01 -> T3,2531,10810
Dm9 -> R7,828,10754
OA-AL2b2 -> Mi1,1750,10694
Dm6 -> Tm2,2162,10690
T2 -> LC4,2317,10589
Tm2 -> Mi9,987,10589
Tm1 -> L5,759,10587
Tm4 -> T3,1668,10570
Tm3 -> T4a,2352,10516
Li18 -> Tm5f,2305,10452
T5c -> LPC2,1775,10449
Pm09 -> Pm05,447,10427
T2a -> LMa5,1687,10413
Mi4 -> Tm9,975,10394
Tm3 -> T4b,2262,10386
T4c -> Tlp4,2362,10376
Mi2 -> Tm21,2045,10253
Tm3 -> T4c,2327,10196
Tm4 -> Li21,1293,10164
CT1 -> Tm9,741,10113
MeMe_e07 -> TmY3,2148,10096
Mi13 -> Mi1,1958,9977
aMe17c -> Dm10,483,9960
T2 -> LMa2,2277,9954
Mi4 -> Pm10,2036,9922
Tm5c -> Tm5e,862,9919
Tm25 -> LT11,353,9906
Mi1 -> Tm25,1552,9768
TmY3 -> LC4,1307,9641
TmY15 -> TmY14,849,9596
L5 -> C3,1265,9540
T4c -> LPi07,1575,9513
Mi4 -> LMa5,1074,9498
T4b -> Am1,745,9422
Pm01 -> Mi1,2397,9383
Li17 -> LC17,1002,9361
Mi10 -> Dm10,1152,9343
Dm9 -> R8,799,9327
T4c -> LPC2,1735,9319
Pm09 -> T2a,1858,9286
T5a -> Y1,1920,9282
Pm02 -> Tm1,2272,9220
Tm4 -> Pm10,1821,9216
Tm20 -> Tm5f,1841,9179
Mi1 -> T2,1940,9176
L3 -> Dm20,2633,9173
Lawf1 -> L3,2477,9144
Tm3 -> T4d,2147,9139
Pm05 -> LMa5,215,9066
Mi9 -> T4a,1892,9040
Dm6 -> Mi4,1811,9029
L5 -> Dm2,2028,9028
Mi13 -> Tm2,1853,9014
T2a -> LMa2,1979,9001
T4c -> LLPC2,1993,8981
Y3 -> Li10,794,8941
Mi1 -> Mi4,882,8927
T4c -> Y11,2334,8874
T5c -> Y11,2306,8870
Mi15 -> MeTu3c,1395,8793
Lawf2 -> L5,2495,8779
Mi9 -> Y3,1678,8765
OA-AL2b2 -> Lawf2,650,8762
Pm04 -> T2a,1559,8705
OA-AL2b2 -> C3,1690,8647
T5b -> LPC1,1699,8638
Dm1 -> Tm3,1582,8585
Pm05 -> Y3,707,8570
Mi1 -> Mi2,1646,8530
Pm08 -> T2a,2399,8454
Dm2 -> MTe01b,1660,8431
Y3 -> TmY5a,1260,8405
Tm16 -> Tm1,1574,8402
Y3 -> Li32,298,8381
L2 -> Dm17,1301,8359
LMa5 -> Pm04,206,8331
Tm4 -> Pm02,2104,8326
Mi9 -> T4c,1887,8306
Pm03 -> T2,2147,8290
Y11 -> TmY14,822,8265
CT1 -> T4a,719,8241
T3 -> LMa2,1872,8229
Dm1 -> L5,1392,8194
C3 -> Mi9,867,8189
T5d -> LPi13,725,8175
Mi9 -> Tm1,773,8172
Pm09 -> Mi1,1718,8158
Tm3 -> L1,2100,8156
Sm32 -> Dm12,801,8154
T5d -> LLPC3,1619,8137
Dm4 -> Dm2,639,8114
Tm5f -> LT79,396,8085
Dm3v -> TmY4,1869,8068
T5b -> LPi05,1496,8052
Dm11 -> Dm2,875,8017
C3 -> Dm1,1383,8017
