Family,Abbrev.,in LA,in ME,in LO,in LOP,out LA,out ME,out LO,out LOP
Centrifugal,C,2361,110557,0,5,25499,192287,0,6
Distal Medulla,Dm,109,493242,29,0,3,461042,66,0
Distal Medulla Dorsal Rim Area,DmDRA,0,5510,0,0,0,6164,0,0
Lamina Intrinsic,Lai,53890,14,0,0,4729,0,0,0
Lamina Monopolar,L,118627,335509,0,0,4644,1018207,0,0
Lamina Tangential,Lat,0,168,138,0,0,0,11,0
Lamina Wide Field,Lawf,212,76784,0,0,39998,583,0,0
Lobula Intrinsic,Li,0,165,465695,242,0,5,311758,25
Lobula Lobula Plate Tangential,LLPt,0,0,18515,1542,0,0,13572,6752
Lobula Medulla Amacrine,LMa,0,222413,118357,2571,0,139822,115942,585
Lobula Medulla Tangential,LMt,0,6226,42542,72,0,22192,26123,25
Lobula Plate Intrinsic,LPi,0,1,3,320696,0,36,13,222563
Medulla Intrinsic,Mi,318,530040,2,0,1,1075969,16,0
Medulla Lobula Lobula Plate Amacrine,Am,0,3201,2183,27387,0,3449,3762,12089
Medulla Lobula Tangential,MLt,0,33346,2088,10,0,28384,10823,1
Photo Receptors,R,1356,21647,0,0,108499,27109,0,0
Proximal Distal Medulla Tangential,PDt,0,2978,0,0,0,1186,0,0
Proximal Medulla,Pm,0,966964,3,350,0,444691,1,265
Serpentine Medulla,Sm,0,240804,10,0,0,239769,25,0
T1 Neuron,T1,6513,100560,0,0,127,2629,0,0
T2 Neuron,T2,0,207836,14421,229,0,46074,176480,85
T3 Neuron,T3,0,117157,7188,18,0,24435,81576,0
T4 Neuron,T4,0,210989,32,28749,0,26568,19,240567
T5 Neuron,T5,0,7,216802,20094,0,0,22862,257408
Translobula Plate,Tlp,0,46,2767,92321,0,176,16095,51725
Transmedullary,Tm,0,939034,92457,920,0,1025728,583491,1679
Transmedullary Y,TmY,0,363265,111320,151107,0,147000,202629,65437
Y Neuron,Y,0,82196,23732,84795,0,55853,78668,56706
