source,n_size,n_col,n_shp,target,n_size,n_col,n_shp,weight,e_clr,e_shp,relation
Tm4,93,Cluster8,700+ cells,TmY14,93,Cluster7,100-699 cells,17744,Top Input,Excitation,top_input
TmY14,38,Cluster7,100-699 cells,Pm08,38,Cluster7,1-99 cells,7810,Top Output,Inhibition,top_output
T2,92,Cluster7,700+ cells,LPLC1,92,Boundary,1-99 cells,7238,Top Input,Excitation,top_input
T2a,100,Cluster7,700+ cells,LPLC1,100,Boundary,1-99 cells,7224,Top Input,Excitation,top_input
Tlp4,25,Cluster11,1-99 cells,TmY14,25,Cluster7,100-699 cells,4419,Top Output,Inhibition,top_output
Tlp14,23,Cluster11,1-99 cells,TmY14,23,Cluster7,100-699 cells,7223,Top Output,Inhibition,top_output
Y11,27,Cluster11,1-99 cells,TmY14,27,Cluster7,100-699 cells,8265,Top Output,Inhibition,top_output
Mi1,100,Cluster9,700+ cells,Y3,100,Cluster7,100-699 cells,21527,Top Input,Excitation,top_input
Tm1,97,Cluster8,700+ cells,Y3,97,Cluster7,100-699 cells,20677,Top Input,Excitation,top_input
Y3,50,Cluster7,100-699 cells,Li10,50,Cluster1,1-99 cells,8941,Top Output,Excitation,top_output
Tm2,97,Cluster8,700+ cells,T2,97,Cluster7,700+ cells,27686,Top Input,Excitation,top_input
Tm2,97,Cluster8,700+ cells,T2,97,Cluster7,700+ cells,27686,Top Output,Excitation,top_output
T2,92,Cluster7,700+ cells,Li15,92,Cluster7,1-99 cells,14144,Top Output,Excitation,top_output
T2,92,Cluster7,700+ cells,Li15,92,Cluster7,1-99 cells,14144,Top Input,Excitation,top_input
Tm1,97,Cluster8,700+ cells,Pm03,97,Cluster7,1-99 cells,78647,Top Output,Excitation,top_output
Tm1,97,Cluster8,700+ cells,Pm03,97,Cluster7,1-99 cells,78647,Top Input,Excitation,top_input
TmY11,38,Cluster1,100-699 cells,TmY15,38,Cluster7,100-699 cells,4577,Top Output,Excitation,top_output
Tm4,93,Cluster8,700+ cells,TmY5a,93,Cluster7,100-699 cells,22730,Top Output,Excitation,top_output
Tm4,93,Cluster8,700+ cells,TmY5a,93,Cluster7,100-699 cells,22730,Top Input,Excitation,top_input
Li11,23,Cluster1,1-99 cells,Li06,23,Cluster7,1-99 cells,1564,Top Output,Inhibition,top_output
Mi1,100,Cluster9,700+ cells,Pm08,100,Cluster7,1-99 cells,61797,Top Input,Excitation,top_input
Pm08,26,Cluster7,1-99 cells,Tm1,26,Cluster8,700+ cells,26905,Top Output,Inhibition,top_output
Pm14,20,Cluster1,1-99 cells,TmY16,20,Cluster7,1-99 cells,4623,Top Output,Inhibition,top_output
