source,n_size,n_col,n_shp,target,n_size,n_col,n_shp,weight,e_clr,e_shp,relation
TmY14,38,Cluster7,100-699 cells,Pm08,38,Cluster7,1-99 cells,7810,Top Output,Inhibition,top_output
Tlp4,25,Cluster11,1-99 cells,TmY14,25,Cluster7,100-699 cells,4419,Top Output,Inhibition,top_output
T5c,97,Cluster12,700+ cells,LPi09,97,Cluster11,1-99 cells,24431,Top Output,Excitation,top_output
LPi09,26,Cluster11,1-99 cells,LLPC3,26,Boundary,100-699 cells,3682,Top Output,Inhibition,top_output
Tlp14,23,Cluster11,1-99 cells,TmY14,23,Cluster7,100-699 cells,7223,Top Output,Inhibition,top_output
Y11,27,Cluster11,1-99 cells,TmY14,27,Cluster7,100-699 cells,8265,Top Output,Inhibition,top_output
Y3,50,Cluster7,100-699 cells,Li10,50,Cluster1,1-99 cells,8941,Top Output,Excitation,top_output
Li05,29,Cluster1,1-99 cells,LPLC4,29,Boundary,1-99 cells,3487,Top Output,Excitation,top_output
LPi04,25,Cluster11,1-99 cells,Y11,25,Cluster11,1-99 cells,2550,Top Output,Inhibition,top_output
LPi03,21,Cluster11,1-99 cells,LPT30,21,Boundary,1-99 cells,200,Top Output,Inhibition,top_output
LPi07,25,Cluster11,1-99 cells,Y1,25,Cluster11,1-99 cells,3144,Top Output,Inhibition,top_output
Tm2,97,Cluster8,700+ cells,T2,97,Cluster7,700+ cells,27686,Top Output,Excitation,top_output
T2,92,Cluster7,700+ cells,Li15,92,Cluster7,1-99 cells,14144,Top Output,Excitation,top_output
Tm9,95,Cluster12,700+ cells,CT1,95,Cluster12,1-99 cells,23488,Top Output,Excitation,top_output
Sm42,20,Cluster1,1-99 cells,Sm07,20,Cluster3,100-699 cells,2664,Top Output,Inhibition,top_output
L2,99,Cluster8,700+ cells,Tm1,99,Cluster8,700+ cells,91229,Top Output,Excitation,top_output
Tm1,97,Cluster8,700+ cells,Pm03,97,Cluster7,1-99 cells,78647,Top Output,Excitation,top_output
Mi9,97,Cluster5,700+ cells,TmY11,97,Cluster1,100-699 cells,19450,Top Output,Inhibition,top_output
TmY11,38,Cluster1,100-699 cells,TmY15,38,Cluster7,100-699 cells,4577,Top Output,Excitation,top_output
Sm09,28,Cluster3,1-99 cells,Tm5b,28,Cluster1,100-699 cells,2854,Top Output,Inhibition,top_output
Tm4,93,Cluster8,700+ cells,TmY5a,93,Cluster7,100-699 cells,22730,Top Output,Excitation,top_output
Tm5c,51,Cluster1,100-699 cells,Tm5e,51,Cluster1,100-699 cells,9879,Top Output,Inhibition,top_output
TmY10,42,Cluster1,100-699 cells,Mi4,42,Cluster1,700+ cells,7982,Top Output,Excitation,top_output
Tm20,94,Cluster1,700+ cells,Tm33,94,Cluster1,1-99 cells,17144,Top Output,Excitation,top_output
Li11,23,Cluster1,1-99 cells,Li06,23,Cluster7,1-99 cells,1564,Top Output,Inhibition,top_output
L3,94,L3,700+ cells,Mi9,94,Cluster5,700+ cells,37152,Top Output,Excitation,top_output
Mi10,41,Cluster1,100-699 cells,Lawf1,41,Cluster13,100-699 cells,18349,Top Output,Excitation,top_output
Lawf1,35,Cluster13,100-699 cells,L3,35,L3,700+ cells,9104,Top Output,Excitation,top_output
Pm08,26,Cluster7,1-99 cells,Tm1,26,Cluster8,700+ cells,26905,Top Output,Inhibition,top_output
Pm14,20,Cluster1,1-99 cells,TmY16,20,Cluster7,1-99 cells,4623,Top Output,Inhibition,top_output
Li33,20,Cluster1,1-99 cells,LPLC1,20,Boundary,1-99 cells,4283,Top Output,Inhibition,top_output
